player_id,team_id,matches,goals,shirt_number,debut,coach_id,debut_game_id,career_state
1012737,7689,0,0,3,,,,CURRENT_NATIONAL_PLAYER
1012737,28420,0,0,19,,,,RECENT_NATIONAL_PLAYER
1012737,36037,0,0,2,,,,RECENT_NATIONAL_PLAYER
1013792,21102,0,0,4,,16198.0,2483946.0,CURRENT_NATIONAL_PLAYER
1013792,25565,3,0,4,,43395.0,4438711.0,RECENT_NATIONAL_PLAYER
1013804,21102,1,1,15,,8710.0,4447775.0,CURRENT_NATIONAL_PLAYER
1013805,21102,0,0,17,,16198.0,2483946.0,CURRENT_NATIONAL_PLAYER
1013805,25565,3,0,17,,43395.0,4438711.0,RECENT_NATIONAL_PLAYER
1013932,28208,0,0,18,,,,CURRENT_NATIONAL_PLAYER
1013932,42665,3,0,10,,75812.0,4585337.0,RECENT_NATIONAL_PLAYER
1013929,42665,2,0,20,,75812.0,4585338.0,RECENT_NATIONAL_PLAYER
1015089,51023,2,0,0,,,,CURRENT_NATIONAL_PLAYER
1015705,22515,3,0,15,,63306.0,4600829.0,RECENT_NATIONAL_PLAYER
1015705,31919,11,0,15,,63306.0,4318098.0,RECENT_NATIONAL_PLAYER
1015823,19429,0,0,19,,,,CURRENT_NATIONAL_PLAYER
1015823,22998,5,0,2,,42283.0,4488783.0,RECENT_NATIONAL_PLAYER
1015822,3446,1,0,3,,8649.0,4510774.0,CURRENT_NATIONAL_PLAYER
1015822,22998,10,0,4,,42283.0,4444779.0,RECENT_NATIONAL_PLAYER
1015829,22998,2,0,7,,42283.0,4461660.0,RECENT_NATIONAL_PLAYER
1016253,22585,8,0,18,,114341.0,4461670.0,RECENT_NATIONAL_PLAYER
1017047,22989,8,0,17,,,,CURRENT_NATIONAL_PLAYER
1017247,21741,9,0,0,,12944.0,4444795.0,RECENT_NATIONAL_PLAYER
1017774,22586,7,1,6,,68795.0,4454019.0,RECENT_NATIONAL_PLAYER
1018395,16297,9,2,0,,64222.0,4192778.0,RECENT_NATIONAL_PLAYER
1018395,16298,1,0,0,,58726.0,4712135.0,CURRENT_NATIONAL_PLAYER
1018834,9565,0,0,0,,,,CURRENT_NATIONAL_PLAYER
1018834,21340,2,0,0,,38908.0,4231137.0,RECENT_NATIONAL_PLAYER
1018834,22907,1,0,0,,32175.0,4579610.0,RECENT_NATIONAL_PLAYER
1018754,24965,0,0,22,,,,CURRENT_NATIONAL_PLAYER
1018912,12609,3,0,6,,31469.0,4718826.0,CURRENT_NATIONAL_PLAYER
1018912,20947,3,0,6,,69960.0,4472604.0,RECENT_NATIONAL_PLAYER
1019116,21426,2,0,0,,6401.0,4715601.0,CURRENT_NATIONAL_PLAYER
1019116,21746,1,0,0,,45633.0,4466951.0,RECENT_NATIONAL_PLAYER
1019148,16337,1,0,18,,12897.0,4558975.0,RECENT_NATIONAL_PLAYER
1019289,41204,7,0,17,,72161.0,3789552.0,CURRENT_NATIONAL_PLAYER
1019546,32364,0,0,22,,,,RECENT_NATIONAL_PLAYER
1020191,5872,0,0,0,,,,RECENT_NATIONAL_PLAYER
1020515,39487,6,1,5,,104930.0,4276043.0,CURRENT_NATIONAL_PLAYER
102123,9173,90,6,3,,2885.0,2261130.0,CURRENT_NATIONAL_PLAYER
1022388,22514,1,0,0,,47081.0,4559360.0,RECENT_NATIONAL_PLAYER
1022814,11946,0,0,0,,,,CURRENT_NATIONAL_PLAYER
1023191,31269,5,0,0,,89675.0,4487356.0,RECENT_NATIONAL_PLAYER
1023698,3701,1,0,0,,31590.0,4405989.0,CURRENT_NATIONAL_PLAYER
1024077,22360,0,0,8,,,2365996.0,CURRENT_NATIONAL_PLAYER
1024077,28425,0,0,18,,,,CURRENT_NATIONAL_PLAYER
1024169,22360,1,0,0,,,2365996.0,RECENT_NATIONAL_PLAYER
1024169,28425,2,0,13,,27837.0,4315764.0,RECENT_NATIONAL_PLAYER
1024766,26099,10,3,10,,54165.0,4317044.0,RECENT_NATIONAL_PLAYER
1024946,28642,2,0,3,,20401.0,4617308.0,CURRENT_NATIONAL_PLAYER
1024946,28642,0,0,0,,,,CURRENT_NATIONAL_PLAYER
1025759,24750,0,0,3,,,,CURRENT_NATIONAL_PLAYER
1025759,28425,1,0,5,,27837.0,4315764.0,CURRENT_NATIONAL_PLAYER
1025972,16298,3,0,0,,62818.0,4488779.0,RECENT_NATIONAL_PLAYER
1025989,27256,1,0,12,,88454.0,4622321.0,RECENT_NATIONAL_PLAYER
1026071,28426,6,0,11,,33946.0,4461681.0,CURRENT_NATIONAL_PLAYER
1026014,34870,2,0,0,,76979.0,3931821.0,CURRENT_NATIONAL_PLAYER
1026492,99675,0,0,0,,,,CURRENT_NATIONAL_PLAYER
1026524,21340,3,0,0,,105317.0,4715429.0,CURRENT_NATIONAL_PLAYER
1026524,31269,7,0,0,,89675.0,4447744.0,RECENT_NATIONAL_PLAYER
1026588,20902,5,0,12,,57334.0,4466965.0,RECENT_NATIONAL_PLAYER
102673,38280,11,0,16,,72543.0,3776019.0,CURRENT_NATIONAL_PLAYER
1027128,24965,0,0,15,,,,CURRENT_NATIONAL_PLAYER
102740,3448,33,5,2,,2073.0,2929543.0,RETIRED_NATIONAL_PLAYER
